"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-0.78709,-0.93969,-0.32204,-0.60226,-1.5366,-0.52568,-0.59142,-0.44326,-0.69004,-0.48593,-0.12564,-0.79582,-1.2003,-0.48889,-1.1133,-0.68181,-0.36209,-0.90655,-0.71906,-0.96411,-0.54768,-0.51777,-0.30063,-0.075271
-0.59483,-0.65515,-0.2356,-0.52291,-1.5941,-0.52646,-0.40386,-0.42039,-0.53719,-0.39158,-0.1093,-0.60389,-1.1772,-0.51874,-1.1876,-0.61998,-0.45038,-0.85009,-0.73551,-0.99503,-0.48615,-0.40131,-0.17639,-0.07588
-0.50321,-0.5785,-0.24986,-0.56714,-1.9134,-0.41225,-0.33748,-0.35272,-0.40328,-0.47554,-0.030498,-0.50332,-1.2422,-0.55292,-1.5105,-0.66594,-0.49202,-0.8128,-0.69068,-1.0728,-0.4614,-0.43622,-0.22429,-0.0034953
-0.80311,-0.90567,-0.25837,-0.83575,-1.6275,-0.39003,-0.596,-0.27253,-0.41576,-0.55032,0.034453,-0.4888,-1.3697,-0.56865,-1.4311,-0.92575,-0.52639,-0.93657,-0.75841,-1.2952,-0.57621,-0.25105,-0.25477,-0.067741
-0.71322,-0.84358,-0.39935,-0.74149,-1.7788,-0.53467,-0.70045,-0.35747,-0.47395,-0.68173,0.027873,-0.58771,-1.5292,-0.66886,-1.8381,-1.0565,-0.69261,-0.88306,-0.77771,-1.4701,-0.59705,-0.41194,-0.36643,-0.13067
-0.5589,-0.70053,-0.57454,-0.59727,-1.9644,-0.63938,-0.62722,-0.41548,-0.54076,-0.67261,-0.035027,-0.79028,-1.6587,-0.74104,-2.4259,-0.99918,-0.82926,-0.62838,-0.53367,-1.5965,-0.37953,-0.56399,-0.46066,-0.22846
-0.47572,-0.41469,-0.5758,-0.34632,-1.9665,-0.60936,-0.52494,-0.35883,-0.57514,-0.55168,-0.20596,-0.63965,-1.6323,-0.71975,-1.8092,-1.1102,-0.71961,-0.69127,-0.59294,-1.4616,-0.48213,-0.57329,-0.45351,-0.47444
-0.58793,-0.50246,-0.40681,-0.30495,-1.4914,-0.4557,-0.51753,-0.27698,-0.46034,-0.42147,-0.1762,-0.41993,-1.3895,-0.49761,-1.5423,-0.89376,-0.49182,-0.41734,-0.3039,-1.2609,-0.26006,-0.46764,-0.31694,-0.2741
-0.48206,-0.32072,-0.2804,-0.23144,-1.0542,-0.26865,-0.32574,-0.20725,-0.23942,-0.29527,-0.04046,-0.19402,-1.1895,-0.39108,-0.99442,-0.75484,-0.27797,-0.29783,-0.35053,-0.87653,-0.16576,-0.46899,-0.016823,-0.018612
-0.42476,-0.19086,-0.29578,-0.30092,-0.77458,-0.27648,-0.28111,-0.15854,-0.20082,-0.24116,-0.044095,-0.16878,-1.1371,-0.3587,-0.50516,-0.7254,-0.37187,-0.17478,-0.49043,-0.52311,-0.1023,-0.48345,0.22566,0.14301
-0.41501,-0.011706,-0.23732,-0.22352,-0.37164,-0.27393,-0.32731,-0.17215,-0.27083,-0.2468,-0.031496,-0.40584,-0.90441,-0.351,-0.17779,-0.57667,-0.31794,-0.19743,-0.46837,-0.31925,-0.079016,-0.30132,0.20993,0.12586
-0.39371,0.11129,-0.13164,-0.0013128,0.27648,-0.23371,-0.31599,-0.09033,-0.25288,-0.16773,-0.032488,-0.36235,-0.57721,-0.30514,0.067145,-0.23688,-0.026958,-0.29089,-0.54146,0.12412,-0.014478,-0.13401,0.35025,0.090282
-0.36911,0.2443,-0.039867,0.10246,0.60078,-0.21889,-0.23467,-0.070223,-0.17691,-0.20962,-0.1326,-0.57139,-0.46807,-0.068078,0.36892,-0.027856,0.19489,-0.31935,-0.40729,0.22592,0.10884,-0.054236,0.3978,0.11692
-0.10073,0.29062,0.065057,0.23093,0.83418,-0.01327,-0.23733,0.10631,-0.0023289,-0.10923,0.030116,-0.52465,-0.24848,0.21414,0.64182,0.12559,0.4588,-0.10059,-0.30335,0.34805,0.2611,0.068418,0.60681,0.42611
0.33993,0.46263,0.53724,0.47579,0.9025,0.28563,-0.0040942,0.43412,0.15245,0.050819,0.1854,-0.29315,-0.045525,0.6396,0.90425,0.42753,0.95346,0.067635,0.15638,0.50732,0.45797,0.3597,0.80507,0.73542
1.1663,0.97503,1.3268,1.0083,0.78942,0.85103,0.59137,0.80994,0.76864,0.42046,0.60987,0.30721,0.79783,1.4917,1.054,1.1356,1.6078,0.64546,0.77671,0.82112,1.0066,0.78955,1.3426,1.1253
1.8086,1.1709,1.9532,1.4247,0.95326,1.383,1.015,1.2113,1.299,0.80152,0.82562,0.46269,1.1445,2.0235,1.324,1.4843,2.3363,0.82197,1.1894,1.3517,1.3112,1.1684,1.6513,1.2848
1.7249,0.92532,1.9399,1.4305,1.2954,1.7738,1.1508,1.4066,1.502,1.1019,0.83892,0.80419,1.1416,1.9287,1.3854,1.5296,2.4039,0.79465,1.3697,1.6954,1.415,1.5813,1.5436,1.426
1.9276,1.1221,2.0622,1.4855,1.6658,1.9789,1.1137,1.4887,1.6347,1.3321,0.93483,1.2,1.3551,1.9612,1.5265,1.5863,2.2319,1.0465,1.4724,1.9601,1.5042,1.5668,1.6761,1.4941
2.6391,2.0536,2.1033,2.3203,1.9588,2.1337,1.3575,1.6105,1.8618,1.6755,1.2207,1.2445,1.5947,2.1029,1.7737,1.7662,2.332,1.2501,1.7658,2.2182,1.6664,1.7112,1.6715,1.7461
