"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-4.644,-7.5384,-3.2311,-5.2384,-6.4667,-4.4326,-4.7496,-2.9992,-3.6565,-2.873,-2.1208,-3.5275,-8.097,-2.34,-9.6306,-5.766,-3.5101,-7.2144,-4.9987,-6.5417,-5.3096,-3.2276,-3.3228,-3.6843
-4.108,-6.0099,-2.6118,-5.0825,-5.6796,-4.0919,-4.0922,-2.7968,-3.2662,-2.498,-2.0403,-4.027,-7.412,-2.3974,-9.5807,-5.1983,-3.14,-6.6331,-4.5941,-5.6376,-5.134,-2.9204,-3.1935,-3.2657
-3.2708,-4.4857,-2.2439,-4.5707,-4.9941,-3.7852,-3.261,-2.3822,-2.8278,-1.9,-1.8939,-3.8663,-6.4559,-1.83,-8.7011,-4.2343,-2.5458,-5.7569,-3.5836,-5.1421,-4.4804,-2.303,-3.2329,-2.8795
-2.5596,-4.582,-1.47,-4.0543,-3.9575,-2.9762,-2.9753,-1.7553,-1.8578,-1.8214,-0.80853,-4.2954,-4.5528,-0.71524,-7.381,-3.4295,-1.8846,-4.6353,-2.9623,-4.2863,-3.7294,-1.2373,-2.5596,-1.8194
-1.6544,-3.2494,-1.5859,-3.1575,-2.8219,-2.7167,-1.9366,-1.3655,-0.51948,-1.5224,-0.0033597,-3.7764,-4.5844,-1.1915,-5.7503,-4.2374,-1.879,-3.9553,-3.822,-2.9098,-3.9081,-1.3732,-2.2287,-2.0888
-0.68935,-1.7293,-1.93,-2.2304,-2.1311,-2.0233,-1.6436,-0.84823,-0.54074,-1.8904,-0.31425,-3.0316,-4.638,-1.4086,-5.7536,-3.7165,-1.4974,-2.6461,-2.9064,-3.1995,-2.5935,-1.0521,-1.9279,-1.6209
-0.15054,-0.49584,-1.565,-1.3085,-2.2519,-1.5699,-1.129,-1.0505,-0.60048,-1.3369,-0.71197,-2.0512,-3.0146,-0.61347,-4.1783,-2.5856,-0.74261,-1.4959,-2.0138,-2.4632,-1.9388,-0.90411,-1.3813,-1.3452
-0.21319,0.61363,-1.6034,-0.78275,-1.4112,-1.4915,0.18686,-1.3878,-0.28864,0.51185,-0.93219,-1.1857,-2.9925,-0.39771,-3.739,-3.1874,-0.58297,-1.3695,-1.9209,-2.2408,-1.772,-1.1795,-1.8262,-1.7919
-0.49516,0.98723,-2.1542,-0.64432,-0.85444,-1.8654,0.39576,-2.1485,-0.029011,0.8282,-1.0484,-0.8004,-2.3721,-0.61721,-2.5324,-2.9646,-0.9191,-0.47801,-1.4493,-2.1662,-1.6343,-1.6383,-2.5893,-2.0627
-0.049613,2.0784,-2.1415,0.2908,-0.0016466,-1.2018,1.525,-2.0399,-0.11057,1.5279,-1.3326,-1.4836,-1.4346,-0.87254,-0.75196,-2.0351,-0.92147,0.91775,-1.7508,-0.34574,-1.1534,-1.8272,-1.2482,-1.6614
0.52744,2.4295,-1.2847,0.72257,0.69997,-0.53605,1.3386,-1.5006,0.10279,0.84537,-1.253,-0.82711,-0.46339,-0.13354,0.12767,-0.95868,-0.18718,1.6284,-0.58492,0.086537,-0.41184,-0.79684,-0.84255,-1.5801
1.221,2.692,-0.4446,1.2705,1.7605,-0.39198,1.8671,-1.4453,0.81092,1.792,-0.32791,0.86244,0.32021,1.1821,0.98385,0.025334,1.7306,1.2373,0.53815,0.5876,-0.10607,0.86698,-0.77305,-0.44656
2.5504,2.4905,-0.39072,1.6172,2.6533,0.40793,3.0861,-1.2062,1.5047,3.1509,-0.20107,2.175,1.1322,2.2746,1.7377,1.249,2.982,1.4271,0.91422,0.69574,0.78279,1.2849,0.017137,1.0351
2.9753,2.4068,-0.78371,0.80909,3.5565,0.70795,2.7756,-0.50643,1.0196,2.3429,-0.76946,-0.19136,1.5515,2.0753,2.8339,1.7035,2.4779,1.9064,1.0284,0.4716,1.2614,0.48256,0.27153,0.84672
3.1827,3.5094,-0.42716,1.496,5.3148,1.2746,3.1319,-0.10218,1.7888,2.4694,-0.34739,0.58018,1.9741,2.0525,3.5066,2.0864,2.9014,2.3104,1.2107,1.4752,1.3854,0.48539,0.6828,0.82816
4.191,4.5579,1.1777,3.0929,5.9654,2.6893,3.5278,0.84874,2.2818,1.853,0.018991,1.1943,2.3661,2.7873,4.3861,2.7707,3.8535,2.9093,2.0914,1.9013,1.7442,0.9816,1.1865,1.1178
5.2271,4.9951,2.1844,3.692,6.6288,3.8131,3.9731,1.7115,3.3127,1.8448,0.7319,2.1374,3.8031,3.7064,5.3971,3.5867,4.6251,3.8229,2.9038,3.4157,2.3437,1.0513,2.5333,1.5726
6.3881,5.4361,3.4039,4.8421,7.1592,4.8657,5.3662,1.962,4.7903,2.6847,0.93016,3.1179,5.0683,4.8315,5.7264,4.4671,5.5353,4.3441,3.7126,4.4764,3.2106,1.9191,2.6833,2.016
5.7326,4.5354,3.0821,4.4762,6.9623,4.4563,5.0722,1.669,4.0668,3.1345,0.6372,3.8066,4.4166,4.2162,5.7194,4.0854,4.5556,4.0976,3.8328,4.0461,2.8157,1.3815,1.5223,1.9216
6.3695,5.7919,3.7442,5.1511,7.6214,5.022,5.1351,1.9952,3.748,3.3471,0.44366,4.2061,5.0431,5.0026,6.2221,5.1695,5.2313,4.7961,4.2298,4.7574,3.2964,1.9571,1.5357,2.2676
8.0056,8.3718,4.534,7.2725,9.3774,5.8606,7.4166,2.1563,4.993,6.1865,1.6207,5.2666,6.4281,6.5894,6.909,6.1504,6.6942,5.6544,4.7644,5.5052,3.9603,3.0402,1.9993,2.9041
9.262,10.022,6.0443,8.8194,10.596,7.0953,8.8325,2.6669,6.2669,7.4315,2.6412,6.644,7.6757,7.6913,8.6811,7.3866,8.0351,6.6318,5.4915,6.4831,4.7278,4.0579,2.973,2.9956
9.8288,11.774,6.816,9.4197,10.923,8.1784,9.5137,3.8127,6.6906,7.2933,2.9463,6.4346,8.9312,8.0458,9.5444,8.2744,8.3816,7.7616,5.8478,7.7088,5.3989,4.4509,4.2169,3.045
9.8951,12.295,7.4519,9.5664,10.887,8.2145,9.5031,4.4791,6.7042,7.0762,3.0279,6.681,9.917,8.0089,10.815,8.0852,7.8834,8.0662,6.1339,8.7023,5.7152,4.3171,4.9029,4.082
10.161,12.429,8.15,10.061,11.203,8.154,9.1756,3.8414,6.6914,6.5671,3.1688,7.3286,11.278,8.6265,12.115,8.3556,8.12,8.3746,6.3888,9.5733,5.5536,3.8269,4.5436,3.3798
10.619,13.383,7.8681,10.273,12.061,8.6538,9.8776,4.2324,7.2358,7.4623,2.5648,8.6522,12.257,9.4542,13.262,9.2195,8.5003,9.3307,7.4732,9.6722,6.3683,4.8244,5.3697,3.4253
10.672,14.226,7.842,10.131,12.505,8.9088,10.27,4.4623,7.5732,7.9639,2.7963,8.167,13.025,10.058,13.629,9.8984,8.5166,9.2884,7.8692,9.8598,6.8235,4.8198,5.4333,4.0283
10.097,13.667,7.7227,9.7143,11.641,8.911,9.0818,4.3392,7.4395,6.5626,2.6086,8.1539,12.588,9.5383,13.304,9.6495,7.8382,8.7017,6.9704,9.3906,6.5947,3.8231,5.2433,3.2232
9.0141,13.152,6.6629,8.9398,10.537,7.5929,8.2219,3.3959,6.5485,6.0151,1.4609,7.2207,11.458,7.4567,12.768,8.6877,5.9078,7.267,6.4481,8.1195,5.9736,2.3395,4.0215,2.6271
8.2181,12.547,5.4729,8.5516,9.1556,6.7516,8.2939,2.2934,5.549,5.6482,1.0965,5.8641,12.154,6.5879,12.248,8.4269,5.7185,9.2349,6.7194,9.7101,6.1299,2.6373,3.1232,2.6929
7.3898,11.564,4.8067,8.3331,8.1606,6.7276,7.5313,1.716,4.7942,4.8071,0.3892,5.5175,11.691,6.9451,10.656,8.5459,5.9323,9.2575,6.2847,9.3309,6.0971,1.7639,3.9268,1.9555
7.0081,11.884,4.8424,8.2663,9.3904,6.5129,6.9395,1.4295,4.6728,4.4161,-0.12639,4.7477,11.612,7.23,10.535,8.3622,5.2124,8.2162,5.6277,9.036,5.6157,0.57409,4.3191,1.3527
7.0699,11.649,4.6875,7.8545,9.0756,6.2514,6.5252,1.3456,4.1753,4.0559,-0.60611,4.1109,11.312,6.8806,10.212,8.0059,4.9397,8.2819,5.3026,8.0517,5.4475,0.35338,3.7481,1.6508
6.1815,10.54,3.7779,6.8524,9.1001,4.9437,5.0101,0.3376,3.3321,3.3345,-1.4967,3.4043,10.078,5.5172,9.2259,6.8429,3.689,7.75,4.4817,6.8634,4.5127,-0.30805,2.7268,1.0531
4.6956,9.8237,2.2098,5.3958,7.6867,3.6995,3.9438,-0.29899,2.3745,1.2443,-1.9869,2.6534,8.7069,4.2635,8.6631,5.4849,2.5826,6.2833,2.8815,5.0725,3.0996,-1.2438,1.2179,-0.15762
2.7369,7.5947,0.86429,4.0708,5.6932,2.2847,2.5011,-1.276,2.1027,-1.0304,-2.2513,2.8417,7.3757,2.0905,8.3986,4.2678,0.74252,4.6084,1.5384,2.9243,2.3266,-1.9012,0.4697,-1.0226
2.0586,7.2801,0.32859,3.5986,6.4702,1.7572,2.1621,-1.3711,1.4338,-0.47885,-2.7842,1.379,6.7445,2.0151,7.9064,3.5211,-0.50077,3.8595,0.33602,2.6547,1.3788,-3.0132,-0.79667,-1.3994
1.9305,7.3402,-0.2563,3.3811,7.2078,1.8343,2.8575,-1.3421,0.69922,0.13423,-2.7486,0.69012,7.0561,3.0385,8.3025,3.4998,-1.4652,4.3297,-0.26014,2.3384,0.59612,-2.777,-0.83511,-1.1986
2.2728,7.369,-0.33547,3.7322,7.5098,1.9451,3.951,-1.195,1.1393,1.4575,-2.6662,0.99056,7.5549,2.8723,9.885,3.625,-1.8028,5.2553,-0.46574,4.7039,0.5415,-2.7302,-0.30988,-1.2531
2.8657,6.0101,-0.45279,3.8844,4.9242,1.7827,3.4132,-0.92904,0.99831,-0.24538,-2.0492,0.27578,6.6383,2.7636,7.4608,3.7476,-1.6032,5.2994,-0.046292,3.3919,0.65988,-2.2171,0.73262,-1.2804
2.7038,5.3256,-0.1349,3.4802,4.5003,1.2086,2.5393,-0.73046,0.42658,-0.20357,-1.8367,-0.28016,4.8805,2.1951,6.3144,3.1831,-1.1371,5.5989,-0.2562,3.4178,0.44597,-1.6034,0.61206,-1.2259
2.1476,5.6891,-0.12909,2.9886,5.8473,0.54738,2.2339,-0.56924,0.1574,0.66891,-1.1112,0.93756,4.5287,1.9227,7.2743,2.216,-1.4145,5.247,-0.15175,4.2411,0.13187,-1.4675,-0.048001,-1.0804
2.3406,5.414,0.45028,3.1363,6.0297,0.99856,2.0463,0.44348,0.35306,0.14869,-0.024326,0.79957,5.2815,2.3857,7.6946,2.6846,-0.41591,5.9449,0.32046,4.556,0.73501,-0.5375,0.51606,-0.47411
2.6325,5.2166,0.9739,3.3035,5.1492,1.6411,2.4393,1.2314,1.0275,-0.31563,0.53433,0.60572,5.6219,2.5256,7.6466,2.668,0.32876,5.2983,0.83346,4.9383,1.5122,0.22153,1.7315,0.76806
3.0366,5.0379,1.7166,3.3087,4.5108,2.285,2.0208,1.7402,1.4474,-0.67912,0.88667,0.86748,6.1657,2.8428,8.1887,2.7082,1.1253,5.3227,1.4884,5.2084,1.824,1.1243,2.3588,0.86172
2.6781,4.5177,1.8576,3.0431,4.3514,2.3326,1.9043,1.9543,1.4015,-0.0011844,1.2193,1.7827,5.8209,2.8941,7.8578,2.6288,1.9571,5.1298,1.7095,5.4989,2.1367,1.526,2.2065,1.2004
