"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-1.5462,-2.0075,-1.274,-1.2617,-2.221,-1.1644,-0.90052,-0.64788,-0.83927,-0.75898,-0.60739,-0.93983,-2.4592,-1.1339,-3.6941,-1.4683,-1.0888,-2.2652,-0.98284,-2.7197,-0.88423,-0.63824,-0.93704,-0.41812
-1.5421,-1.9693,-1.159,-1.3481,-2.0286,-1.2308,-1.0218,-0.53075,-0.92264,-0.8326,-0.43992,-1.1477,-2.6001,-1.2249,-3.7986,-1.6094,-0.91474,-2.5211,-1.0021,-2.6897,-0.8977,-0.64625,-0.76956,-0.42908
-1.3991,-1.7142,-0.96654,-1.2564,-1.7692,-1.106,-0.97368,-0.46562,-0.79529,-0.79803,-0.18608,-1.0433,-2.3737,-1.0487,-3.6561,-1.5142,-0.74947,-2.3522,-0.98576,-2.6916,-0.9923,-0.3531,-0.66543,-0.29605
-1.1703,-1.4714,-0.75816,-1.079,-1.5743,-1.0325,-0.87296,-0.47807,-0.66337,-0.79476,-0.11607,-1.3022,-2.2569,-0.94463,-3.7051,-1.4187,-0.66279,-2.156,-0.90871,-2.667,-0.93387,-0.35738,-0.92144,-0.26719
-0.93578,-1.143,-0.58934,-0.90412,-1.3939,-0.98324,-0.79387,-0.47875,-0.46288,-0.75144,-0.25642,-1.2773,-2.0761,-0.92522,-3.5911,-1.3072,-0.65959,-1.9019,-0.89084,-2.5422,-0.81646,-0.36099,-0.79701,-0.42137
-0.71535,-1.0423,-0.44025,-0.76791,-1.5505,-0.86994,-0.67466,-0.42284,-0.18353,-0.60884,-0.29148,-0.46666,-1.8916,-0.82576,-3.3308,-1.2047,-0.56493,-1.6811,-0.85379,-2.3274,-0.74746,-0.51732,-0.42829,-0.47147
-0.56343,-0.87576,-0.26023,-0.67246,-1.4462,-0.72431,-0.59233,-0.33294,-0.02211,-0.47502,0.02729,-0.60924,-1.6593,-0.59914,-3.2181,-1.0694,-0.32788,-1.4441,-0.74246,-2.3911,-0.63832,-0.58444,-0.52126,-0.34716
-0.62792,-1.0855,-0.3341,-0.82727,-1.6242,-0.83043,-0.66074,-0.43076,-0.087591,-0.64278,-0.16707,-0.43149,-1.7538,-0.62193,-3.5509,-1.1698,-0.27988,-1.6922,-0.87394,-2.6577,-0.76671,-0.62589,-0.78265,-0.37481
-0.85707,-1.3077,-0.4785,-0.95071,-1.8613,-0.97814,-0.77533,-0.54794,-0.21863,-0.66488,-0.17824,-0.68035,-1.9883,-0.70132,-3.5693,-1.3356,-0.30205,-1.6139,-0.85828,-2.5853,-0.97693,-0.57654,-0.71097,-0.58107
-0.80364,-1.4189,-0.4919,-0.98024,-1.9518,-0.8953,-0.79482,-0.60769,-0.19318,-0.92409,-0.20486,-1.1767,-1.9746,-0.58076,-3.5059,-1.3253,-0.26629,-1.5782,-0.82353,-2.4682,-0.97644,-0.43661,-0.55067,-0.52916
-0.5533,-1.2693,-0.16361,-0.74037,-1.8255,-0.6647,-0.64593,-0.55594,-0.011711,-1.0157,-0.2015,-0.54683,-1.8033,-0.1425,-3.2919,-1.1141,-0.0096853,-1.4288,-0.65225,-1.9775,-0.76363,-0.18381,-0.32489,-0.4318
-0.24287,-1.3835,-0.15172,-0.78719,-1.8938,-0.52385,-0.46113,-0.50772,-0.033158,-0.50541,-0.18163,-0.43663,-1.731,0.16569,-3.2834,-0.87442,0.16335,-1.2936,-0.31438,-1.9193,-0.54119,0.1709,-0.1145,-0.10451
0.39903,-2.5957,-0.98523,-1.6816,-3.0341,-0.60638,-0.45798,-0.40813,-0.15889,-0.26646,-0.37302,-0.59065,-2.072,-0.074232,-3.6185,-0.90579,-0.22852,-1.5605,-0.34106,-2.6496,-0.38422,-0.11796,-0.37825,0.18181
0.42855,-2.155,-0.83835,-1.5249,-2.5715,-0.47892,-0.30254,-0.55849,-0.13727,0.054014,-0.42214,-0.63561,-2.062,-0.10557,-3.6725,-0.71327,-0.013384,-1.4359,-0.29057,-2.526,-0.23458,-0.039797,-0.20632,0.22553
0.55442,-1.7881,-0.4806,-0.7856,-2.1786,-0.17946,-0.22614,-0.62223,-0.1089,-0.074806,-0.54384,-0.076101,-1.9529,0.067513,-3.3445,-0.56638,0.62933,-1.0137,0.073035,-1.7512,-0.281,0.044028,-0.31615,0.22618
0.71636,-1.3443,-0.42166,-0.4108,-1.8945,0.28404,-0.29693,-0.35296,-0.12385,-0.51586,-0.33602,0.33619,-1.7122,0.10262,-2.7174,-0.54104,0.83552,-0.92035,0.20334,-1.2721,-0.36697,0.02454,-0.26272,0.14923
1.0778,-1.0448,-0.025746,-0.040904,-1.6067,0.74145,-0.084907,0.089918,0.13559,-0.47582,-0.11386,-0.27467,-1.1173,0.56984,-2.1574,-0.25249,1.134,-0.44712,0.46614,-0.91387,-0.26806,0.3818,-0.18973,0.28798
1.0986,-0.67083,0.18235,0.2939,-1.2599,0.74052,0.2128,0.15939,0.49759,-0.33043,0.16778,0.55085,-0.65704,0.74196,-1.5274,-0.0097058,1.2108,-0.056887,0.63731,-0.46395,-0.094111,0.54546,-0.1447,0.30633
0.83183,-0.18269,0.11494,0.41922,-1.0874,0.48162,0.20597,-0.070596,0.16104,-0.43897,-0.22012,0.7664,-0.34562,0.83394,-0.84802,0.10778,1.2183,0.097606,0.53905,-0.086536,0.0097385,0.82537,-0.14917,0.40765
1.1017,0.37369,0.3529,0.8848,-0.72286,0.72853,0.33563,-0.04808,0.33992,-0.7059,-0.081975,0.45862,0.15972,1.2347,-0.79444,0.45448,1.2515,0.68609,0.65802,0.23865,0.2766,0.81441,0.13136,0.5125
1.3328,0.83918,0.60862,1.2502,-0.36908,0.84565,0.70028,-0.13352,0.78797,-0.30565,0.2923,1.0064,0.52537,1.3473,-0.098446,0.72128,1.2244,0.78504,0.55548,0.51616,0.43641,0.81317,0.29286,0.37696
