"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
-7.5406,-6.8092,-5.2802,-7.4982,-5.5872,-6.9777,-7.1678,-4.8826,-6.2335,-5.3675,-4.3835,-6.2253,-8.9198,-8.3228,-6.1959,-8.4826,-7.7598,-6.9551,-6.7964,-4.7811,-7.4722,-5.0173,-6.2227,-6.3496
-7.1307,-6.6809,-4.8679,-7.1998,-5.8134,-6.6174,-7.1043,-4.6538,-5.8884,-5.518,-4.0579,-5.9836,-8.7229,-7.7618,-6.261,-7.938,-7.2741,-6.8488,-6.241,-4.4369,-6.9858,-5.275,-5.9678,-5.5224
-6.759,-6.6552,-4.4673,-6.8894,-5.6675,-6.0665,-6.8789,-4.0289,-5.6417,-4.8599,-3.5947,-5.6671,-8.3524,-7.0745,-6.3225,-7.2864,-6.6821,-6.6421,-5.8067,-4.4209,-6.5453,-4.4331,-5.8866,-5.2439
-6.4632,-6.6337,-4.242,-6.6561,-5.571,-5.923,-6.7613,-3.6489,-5.3358,-4.8659,-2.8998,-5.1254,-8.1228,-6.6244,-6.1489,-6.8835,-6.4988,-6.3434,-5.7239,-4.1562,-6.3493,-3.9668,-5.3594,-5.0076
-6.1478,-6.6841,-4.2551,-6.3472,-5.9521,-6.0011,-6.9462,-3.8093,-4.9047,-5.4956,-2.643,-4.9602,-8.1147,-6.1365,-6.2951,-6.5983,-6.4904,-6.6344,-5.7078,-4.1818,-6.1028,-4.34,-5.0383,-5.1518
-5.9461,-6.6102,-4.1605,-6.1066,-5.1386,-6.1184,-6.3771,-3.7107,-4.3905,-4.7969,-2.4265,-4.3221,-8.0587,-5.9432,-5.9686,-6.504,-6.5509,-6.3399,-5.5686,-3.9081,-6.1453,-4.0593,-4.8595,-4.9071
-5.5827,-6.5786,-3.984,-6.1436,-4.9027,-5.7093,-6.2262,-3.6157,-4.9256,-4.3728,-2.8816,-4.7737,-7.7282,-5.441,-5.9215,-6.2644,-6.269,-6.2677,-5.2647,-3.8197,-6.1952,-3.9045,-5.0523,-4.6063
-5.0647,-6.657,-3.5243,-6.1552,-5.1292,-5.2067,-6.3781,-3.1279,-5.3486,-4.229,-3.1105,-5.6688,-6.8517,-4.4647,-6.2855,-5.4427,-5.7624,-6.0152,-5.1139,-3.9853,-6.0056,-3.5747,-4.7017,-4.1224
-4.9298,-6.6002,-3.5219,-5.982,-5.104,-5.2143,-6.1015,-3.2541,-4.6466,-4.2888,-2.7388,-4.8701,-6.7482,-3.8795,-6.7662,-5.435,-5.2221,-6.1949,-4.913,-4.6518,-5.746,-3.0795,-4.8262,-4.2678
-4.6578,-6.4571,-3.242,-5.7884,-4.8469,-4.9171,-5.7692,-2.9863,-4.3582,-3.7877,-2.521,-4.7678,-6.9164,-3.5966,-6.8859,-5.7184,-4.652,-6.384,-4.6615,-4.7332,-5.5485,-3.1663,-4.7921,-4.2905
