"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
3.184,5.5419,1.1342,3.0945,7.5114,2.3908,3.7182,1.0653,2.1882,2.2191,0.33103,0.98646,4.0637,1.9811,6.5952,2.8424,2.1832,3.765,1.6364,3.242,1.5227,0.56387,1.239,0.29325
3.2244,5.0677,1.2028,3.0059,7.4912,2.5083,3.4457,1.159,2.7738,1.732,0.52477,1.8033,4.6941,2.0382,6.8726,2.9032,1.9664,3.9132,1.9459,3.7497,1.6224,-0.368,1.3923,-0.043283
3.4663,5.3649,1.3088,3.2686,7.976,2.7654,4.2302,0.81877,3.2726,2.1101,0.26003,2.9513,5.0594,2.1291,7.0553,3.1989,2.219,4.2411,2.0157,4.2922,2.1135,0.46077,1.3501,0.6721
3.3966,5.2972,1.4051,3.3728,7.7552,2.6645,4.5027,0.53292,3.1514,2.4794,0.10031,2.5877,4.7332,2.0411,6.1906,3.0843,1.8603,3.7746,1.9497,3.899,2.1671,0.50444,1.283,0.37055
3.0467,4.4702,1.1264,2.9497,7.0004,2.1255,3.8277,0.22268,2.373,2.4341,-0.37111,2.3856,4.2883,1.8588,5.6845,2.7901,1.3257,3.1635,1.7927,2.7906,1.6221,-0.56561,0.32939,0.13031
2.9781,4.0141,0.84821,2.6071,6.8719,1.9455,3.6373,0.041572,2.1239,2.3338,-0.16878,2.7866,3.7524,1.5148,5.9705,2.4649,0.87597,3.5682,1.9398,2.8212,1.3844,-0.93416,0.0037887,0.33065
3.3613,4.6073,1.4152,3.0558,6.9441,2.4295,3.5956,0.60644,1.8171,2.1379,-0.41158,1.8334,3.8895,1.7039,5.5873,3.074,1.192,3.6478,2.1165,2.9537,1.7295,-0.75862,0.019667,0.19052
3.8322,5.1496,1.7538,3.4392,7.156,2.6636,4.0308,0.59244,2.044,2.8286,-0.20231,2.3497,4.1189,2.5385,5.3524,3.8002,2.2482,3.4361,2.2142,2.6932,1.8088,0.036868,0.037612,0.46431
4.2433,5.7423,1.8513,3.9433,7.8282,2.8984,5.3105,0.5897,2.626,4.7269,0.40085,3.4803,4.5114,3.1055,5.7443,3.8351,2.8385,3.6757,2.4264,2.9841,1.9564,0.046156,0.063412,0.51036
4.4636,6.2758,2.2814,4.4079,8.5269,3.1771,6.2732,0.6699,3.1311,5.9004,0.71226,3.9216,4.8986,3.3461,6.4274,3.9498,3.3624,4.0521,2.4001,3.4029,2.1925,0.79488,0.32802,0.9313
4.691,6.5078,2.8975,4.6405,8.7271,3.6221,6.184,0.89274,3.0837,5.5323,0.73641,3.7378,5.0884,3.9135,6.4634,4.5196,4.0115,3.9993,2.8433,3.259,2.2044,1.4092,0.73132,0.6275
5.0721,7.0784,3.4266,5.1083,9.1666,4.2287,6.5008,1.4037,3.5817,5.7641,1.0087,4.1454,5.5635,4.4872,6.7697,5.0494,4.5428,4.4561,3.2717,3.6842,2.5506,1.5965,1.2418,0.65042
5.0315,7.939,3.374,5.2854,9.3389,4.446,6.6593,1.6202,3.6662,5.432,1.009,3.7539,5.8043,4.2149,6.3205,5.1615,4.1666,4.691,2.9857,4.1469,2.6258,1.5067,1.4088,0.37503
5.1107,8.14,3.5257,5.1833,8.9522,4.6231,6.397,2.3262,3.0712,4.8333,0.72368,2.66,6.0952,4.128,5.9657,5.1969,3.6249,4.7164,3.0601,3.9861,2.6811,1.8387,1.746,0.60942
4.9602,7.6832,3.7193,5.1066,8.3358,4.4396,6.3161,2.223,3.3354,4.6562,0.74065,3.1392,6.2916,4.2272,6.0435,4.9728,3.501,4.8751,3.1664,4.0462,2.7681,1.9001,1.8986,1.1143
4.6958,7.0452,3.6794,4.7702,7.6319,4.0546,5.9399,1.655,2.8191,4.4299,0.57865,3.2993,6.4411,3.9754,6.2769,4.6154,3.221,4.545,2.9293,4.0669,2.5175,1.3233,1.5357,1.3434
